	file	bestScore	time
0	vc_20_60_01	867	8.464885950088501
1	vc_20_120_01	894	7.595147132873535
2	vc_25_150_01	1409	8.572881937026978
3	vc_100_500_01	5088	24.93318486213684
4	vc_100_2000_01	6471	28.098536014556885
5	vc_200_750_01	9669	47.34614968299866
6	vc_200_3000_01	12369	52.37766718864441
